================ diagnose_fc_qtoy_steps ================
datafile              = data/finaldata/step4f_run1to20_eg_doubleonly_allpatterns_500ns.txt
events_used           = 18
BR_test               = 0.0009306122449
N_sig_test_nominal    = 1.58977376
q_obs                 = 3.17954996
fit_prof_mean_sig     = 1.58977376
fit_prof_mean_rmd     = 1.662828566
fit_prof_mean_acc     = 15.3032428
n_toys_requested      = 20000
n_toys_valid          = 19998
global_p_value        = 0.104210421
q_toy_q50             = 0.2581959572
q_toy_q90             = 3.179549976
q_toy_q95             = 3.179550044
========================================================
================ by generated N_sig ====================
# N_sig_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 4023 0.201170117 0.3900074571 3.179549865 3.179550045 3.179550047
1 6548 0.3274327433 0 0.2536134508 0.2699217627 0.300716673
2 5104 0.2552255226 0 0.09630281551 0.09776771887 0.1040301643
3 2691 0.1345634563 0.0003716090673 0.9828989191 0.9896292369 0.9962189336
4 1147 0.05735573557 0.02615518745 2.54795317 2.560172456 2.561179395
5 360 0.01800180018 0.9972222222 4.613442848 4.635449266 4.637986988
6 102 0.005100510051 1 7.091178739 7.112832919 7.211581281
7 18 0.000900090009 1 9.877534473 9.918288429 9.919941986
8 2 0.000100010001 1 12.8073617 12.91726322 12.93100091
9 2 0.000100010001 1 16.28599048 16.33854082 16.34510961
10 1 5.00050005e-05 1 19.89396771 19.89396771 19.89396771
========================================================
============= by generated (N_sig + N_rmd) =============
# N_prompt_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 753 0.03765376538 0.4196547145 3.17954991 3.179550046 3.179550048
1 2478 0.1239123912 0.1900726392 0.313407439 3.17955003 3.179550042
2 4059 0.202970297 0.1071692535 0.2534705153 3.179549981 3.179550035
3 4468 0.2234223422 0.05058191585 0.2531402499 3.179548946 3.179549961
4 3672 0.1836183618 0.02668845316 0.2547102888 2.555876644 3.179548473
5 2288 0.1144114411 0.04501748252 0.8615393916 2.555801921 3.179549103
6 1300 0.06500650065 0.1276923077 0.981250542 4.555666147 4.624987204
7 585 0.02925292529 0.2102564103 1.62625939 4.62238385 6.800243564
8 259 0.01295129513 0.3088803089 2.502001978 6.987186282 7.105290495
9 87 0.004350435044 0.4482758621 2.542479334 7.066639412 7.102830784
10 30 0.001500150015 0.4666666667 2.549279806 8.610773498 9.338469135
11 12 0.000600060006 0.75 7.067168217 12.56570111 16.0718917
12 4 0.000200020002 0.5 7.631152667 15.15520723 15.68775489
13 1 5.00050005e-05 1 16.35167841 16.35167841 16.35167841
14 2 0.000100010001 0.5 6.146430436 9.023595882 9.383241563
========================================================
