================ diagnose_fc_qtoy_steps ================
datafile              = data/finaldata/step4f_run1to20_eg_doubleonly_allpatterns_500ns.txt
events_used           = 18
BR_test               = 0.0002448979592
N_sig_test_nominal    = 0.4183615159
q_obs                 = 0.8367231189
fit_prof_mean_sig     = 0.4183615159
fit_prof_mean_rmd     = 1.662828406
fit_prof_mean_acc     = 15.30324268
n_toys_requested      = 20000
n_toys_valid          = 20000
global_p_value        = 0.3414
q_toy_q50             = 0.8367227185
q_toy_q90             = 0.8367232064
q_toy_q95             = 3.050177867
========================================================
================ by generated N_sig ====================
# N_sig_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 13138 0.6569 0.4045516821 0.8367230351 0.8367232037 0.8367232061
1 5515 0.27575 0.030643699 0.5747859649 0.5795408735 0.5925101015
2 1154 0.0577 0.9974003466 3.07332346 3.094602692 3.094945327
3 170 0.0085 1 6.607551639 6.656843741 6.656872197
4 22 0.0011 1 10.81603711 10.87737757 10.88536493
5 1 5e-05 1 15.49741934 15.49741934 15.49741934
========================================================
============= by generated (N_sig + N_rmd) =============
# N_prompt_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 2481 0.12405 0.4320838372 0.8367230741 0.8367232047 0.8367232066
1 5217 0.26085 0.3323749281 0.8367228564 0.8367232008 0.8367232052
2 5399 0.26995 0.3082052232 0.8367223358 0.8367232047 0.8367232069
3 3714 0.1857 0.3177167474 0.8367215528 2.921554416 3.079617009
4 1969 0.09845 0.342813611 0.8367214901 3.07449722 3.092532368
5 826 0.0413 0.3704600484 0.8367216288 3.085464761 6.551309114
6 274 0.0137 0.4635036496 0.8367228283 6.184644951 6.585779942
7 78 0.0039 0.5256410256 0.8367231975 6.586989408 7.252602264
8 33 0.00165 0.6666666667 2.629000565 6.639015192 10.5495144
9 7 0.00035 0.8571428571 2.995253445 6.089908318 6.165076651
10 2 0.0001 0.5 0.7013852668 0.809655617 0.8231894108
========================================================
