================ diagnose_fc_qtoy_steps ================
datafile              = data/finaldata/step4f_run1to20_eg_doubleonly_allpatterns_500ns.txt
events_used           = 18
BR_test               = 0.0007102040816
N_sig_test_nominal    = 1.213248396
q_obs                 = 2.426498176
fit_prof_mean_sig     = 1.213248396
fit_prof_mean_rmd     = 1.662828515
fit_prof_mean_acc     = 15.30324276
n_toys_requested      = 20000
n_toys_valid          = 19998
global_p_value        = 0.1486148615
q_toy_q50             = 0.4236738092
q_toy_q90             = 2.426498246
q_toy_q95             = 2.426498263
========================================================
================ by generated N_sig ====================
# N_sig_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 5868 0.2934293429 0.3803680982 2.426498078 2.42649826 2.426498263
1 7228 0.3614361436 0 0.040509918 0.05255388998 0.09264957471
2 4393 0.2196719672 0.0004552697473 0.4219582777 0.4258768701 0.4276967546
3 1809 0.0904590459 0.0226644555 1.845969862 1.858061205 1.858354674
4 539 0.02695269527 0.9944341373 3.949580274 3.968113088 3.970426046
5 132 0.006600660066 1 6.563685199 6.586781199 6.762087541
6 27 0.001350135014 1 9.575730603 9.601131393 9.604210315
7 2 0.000100010001 1 12.9303703 12.93666871 12.93745601
========================================================
============= by generated (N_sig + N_rmd) =============
# N_prompt_gen  n_toys  frac  frac_ge_qobs  q50  q90  q95
0 1111 0.05555555556 0.4230423042 2.426498117 2.426498262 2.426498264
1 3252 0.1626162616 0.2232472325 2.426495782 2.426498252 2.42649826
2 4647 0.2323732373 0.1207230471 0.3592259182 2.426498216 2.426498255
3 4559 0.2279727973 0.06865540689 0.4166218944 2.426497933 2.426498237
4 3160 0.1580158016 0.07373417722 0.4213261571 2.426497705 2.426498258
5 1872 0.09360936094 0.1351495726 0.4244822908 3.79506278 3.957240542
6 857 0.04285428543 0.2403733956 1.782174061 3.958197235 6.041608022
7 341 0.01705170517 0.3636363636 1.837178713 6.506674083 6.574035904
8 140 0.00700070007 0.3785714286 1.834711721 6.564275694 9.521446051
9 42 0.002100210021 0.5238095238 3.136171158 9.214281695 9.49981141
10 14 0.000700070007 0.5714285714 3.906659035 6.565485707 7.622088603
11 1 5.00050005e-05 1 6.596682392 6.596682392 6.596682392
12 1 5.00050005e-05 1 9.529559666 9.529559666 9.529559666
13 1 5.00050005e-05 1 3.928407967 3.928407967 3.928407967
========================================================
